#timestamp [ns], position.x [m], position.y [m], position.z [m], quaternion.w [], quaternion.x [], qquaternion.y [], quaternion.z []
0000000008549999999,2.22829008,0.489093989,1.35105503,0.714603603,0.628515363,0.209040135,0.224973142
0000000008599999999,2.21216202,0.518911004,1.35426998,0.707241952,0.631973088,0.214897022,0.232891023
0000000008649999999,2.19482589,0.547572017,1.35481298,0.700264573,0.632740438,0.222988799,0.244016811
0000000008699999999,2.17495608,0.576650977,1.35326099,0.694391191,0.631911755,0.230597302,0.255606294
0000000008749999999,2.15322208,0.607309997,1.34963799,0.689174116,0.630593896,0.240138963,0.264051944
0000000008799999999,2.12978196,0.639122009,1.34466302,0.683931231,0.629026771,0.249884918,0.272250921
0000000008849999999,2.10574603,0.671343029,1.33866096,0.678930938,0.628247082,0.256766647,0.280049622
0000000008899999999,2.08076,0.703704,1.33385897,0.674868345,0.625722706,0.262908846,0.289658844
0000000008949999999,2.05460596,0.736590981,1.33247805,0.670278072,0.622159958,0.269838959,0.301381946
0000000008999999999,2.02692604,0.770072997,1.33531404,0.665973604,0.61756134,0.280904144,0.310146213
0000000009049999999,1.99888098,0.801501989,1.34053397,0.660761356,0.611995637,0.296493858,0.31772086
0000000009099999999,1.970945,0.827989995,1.34537601,0.653315246,0.606583774,0.305262923,0.334737867
0000000009149999999,1.94108605,0.852805972,1.350335,0.644553423,0.598779619,0.320387334,0.351236314
0000000009199999999,1.90922594,0.874055982,1.35526597,0.639086783,0.587290168,0.335319132,0.366360128
0000000009249999999,1.87655306,0.891624987,1.357651,0.635744929,0.571438074,0.35097605,0.382234067
0000000009299999999,1.84273696,0.907501996,1.35804296,0.630635202,0.556894839,0.365016907,0.398659885
0000000009349999999,1.80809605,0.922300994,1.35604596,0.626882136,0.543903887,0.376726925,0.411416948
0000000009399999999,1.773139,0.936456025,1.35184896,0.624240875,0.533227205,0.387807429,0.419041395
0000000009450000000,1.73721099,0.950200021,1.346017,0.619276524,0.525912404,0.392187297,0.431396306
0000000009500000000,1.70076799,0.962337971,1.33983397,0.615100324,0.519347727,0.396832794,0.440967768
0000000009550000000,1.66405594,0.974649012,1.33508599,0.610249162,0.516607881,0.399063915,0.448842883
0000000009600000000,1.62568998,0.986118972,1.33364296,0.603788376,0.514458716,0.399325758,0.459684759
0000000009650000000,1.58563101,0.997498989,1.3362,0.597772717,0.512368262,0.402877182,0.466730237
0000000009700000000,1.54668295,1.00865304,1.340675,0.594115138,0.509241879,0.408112913,0.470258951
0000000009750000000,1.510746,1.01990795,1.34483004,0.586918652,0.509744465,0.406160593,0.480332464
0000000009800000000,1.47326696,1.03240204,1.34842503,0.58537823,0.50834775,0.411922842,0.478783816
0000000009850000000,1.43570602,1.04611802,1.35235,0.585074306,0.506398618,0.420865536,0.473415583
0000000009900000000,1.40117097,1.05856097,1.35535002,0.582162976,0.509947002,0.420780003,0.473269999
0000000009950000000,1.36778903,1.07010996,1.35608101,0.574771047,0.514769912,0.41970101,0.478017926
0000000010000000000,1.332726,1.08253503,1.35430896,0.566416144,0.517745852,0.42137292,0.483276844
0000000010050000000,1.294101,1.09595299,1.35053694,0.562474608,0.518403471,0.426402539,0.482762456
0000000010100000000,1.25359094,1.10969496,1.34470201,0.561757863,0.517105043,0.431107908,0.48081097
0000000010150000000,1.212129,1.12360704,1.33848202,0.560424328,0.515705705,0.4340927,0.481180668
0000000010200000000,1.17181504,1.13908696,1.33276606,0.558597326,0.514625788,0.435916752,0.482809752
0000000010250000000,1.12975395,1.15440702,1.33111596,0.555006683,0.514585376,0.43878448,0.484392405
